date,botten_ada
2026-06-14,0.132
2026-06-15,0.132
2026-06-16,0.132
2026-06-17,0.101
2026-06-18,0.115
2026-06-19,0.115
2026-06-20,0.115
2026-06-21,0.115
2026-06-22,0.115
2026-06-23,0.111
2026-06-24,0.115
2026-06-25,0.121
2026-06-26,0.121
2026-06-27,0.121
2026-06-28,0.121
2026-06-29,0.121
2026-06-30,0.121
2026-07-01,0.121
2026-07-02,0.121
2026-07-03,0.121
2026-07-04,0.121
2026-07-05,0.121
2026-07-06,0.121
2026-07-07,0.121
2026-07-08,0.121
2026-07-09,0.121
2026-07-10,0.121
2026-07-11,0.121
2026-07-12,0.121
2026-07-13,0.121
2026-07-14,0.121
2026-07-15,0.121
2026-07-16,0.121
2026-07-17,0.121
2026-07-18,0.121
2026-07-19,0.116
2026-07-20,0.116
2026-07-21,0.116
2026-07-22,0.116
2026-07-23,0.112
