date,botten_ada
2026-06-14,0.931
2026-06-15,0.931
2026-06-16,0.931
2026-06-17,0.943
2026-06-18,0.937
2026-06-19,0.937
2026-06-20,0.937
2026-06-21,0.937
2026-06-22,0.937
2026-06-23,0.939
2026-06-24,0.938
2026-06-25,0.927
2026-06-26,0.927
2026-06-27,0.927
2026-06-28,0.927
2026-06-29,0.927
2026-06-30,0.927
2026-07-01,0.927
2026-07-02,0.927
2026-07-03,0.927
2026-07-04,0.927
2026-07-05,0.927
2026-07-06,0.927
2026-07-07,0.927
2026-07-08,0.927
2026-07-09,0.927
2026-07-10,0.927
2026-07-11,0.927
2026-07-12,0.927
2026-07-13,0.927
2026-07-14,0.927
