date,botten_ada,polymarket,smarkets
2026-06-14,0.0,0.025,
2026-06-15,0.0,0.0285,
2026-06-16,0.0,0.016,
2026-06-17,0.0,0.0035,0.003
2026-06-18,0.0,0.004,0.0039
2026-06-19,0.0,0.0035,0.003
2026-06-20,0.0,0.0035,0.003
2026-06-21,0.0,0.004,0.0034
2026-06-22,0.0,0.005,0.0046
2026-06-23,0.0,0.0055,
2026-06-24,0.0,0.005,0.0046
2026-06-25,0.0,0.004,0.0034
2026-06-26,0.0,0.004,0.0034
2026-06-27,0.0,0.0035,0.0027
2026-06-28,0.0,0.0035,0.0027
2026-06-29,0.0,0.0035,0.0027
2026-06-30,0.0,0.0035,0.0027
2026-07-01,0.0,0.0035,0.0027
2026-07-02,0.0,0.0035,0.0027
2026-07-03,0.0,0.0025,0.0019
2026-07-04,0.0,0.0025,0.0019
2026-07-05,0.0,0.0025,0.0019
2026-07-06,0.0,0.0045,0.0042
2026-07-07,0.0,0.0035,0.003
2026-07-08,0.0,0.0025,0.0021
2026-07-09,0.0,0.0025,0.0021
2026-07-10,0.0,0.0035,0.0027
2026-07-11,0.0,0.0045,0.005
2026-07-12,0.0,0.004,0.0042
2026-07-13,0.0,0.0025,0.0021
2026-07-14,0.0,0.0025,0.0021
2026-07-15,0.0,0.0025,0.0021
2026-07-16,0.0,0.0025,0.0021
2026-07-17,0.0,0.0025,0.0021
2026-07-18,0.0,0.005,0.0053
2026-07-19,0.001,0.005,0.0053
2026-07-20,0.001,0.005,0.0053
2026-07-21,0.001,0.0055,0.0056
