date,botten_ada,polymarket,smarkets
2026-06-14,0.003,0.0355,
2026-06-15,0.003,0.036,
2026-06-16,0.003,0.035,0.0352
2026-06-17,0.003,0.0355,0.0359
2026-06-18,0.003,0.035,0.0343
2026-06-19,0.003,0.0345,0.0343
2026-06-20,0.003,0.035,0.0349
2026-06-21,0.003,0.035,
2026-06-22,0.003,0.033,0.0336
2026-06-23,0.001,0.0255,0.0267
2026-06-24,0.002,0.029,0.0292
2026-06-25,0.0,0.0345,0.0352
2026-06-26,0.0,0.0355,0.0357
2026-06-27,0.0,0.031,0.0312
2026-06-28,0.0,0.032,0.031
2026-06-29,0.0,0.032,0.031
2026-06-30,0.0,0.032,0.031
2026-07-01,0.0,0.032,0.031
2026-07-02,0.0,0.032,0.031
2026-07-03,0.0,0.029,0.0297
2026-07-04,0.0,0.029,0.0297
2026-07-05,0.0,0.029,0.0297
2026-07-06,0.0,0.0275,0.0278
2026-07-07,0.0,0.026,0.0275
2026-07-08,0.0,0.0275,0.0287
2026-07-09,0.0,0.026,0.0281
2026-07-10,0.0,0.025,0.0271
2026-07-11,0.0,0.0245,0.0251
2026-07-12,0.0,0.0275,0.0283
2026-07-13,0.0,0.0245,0.0251
2026-07-14,0.0,0.026,0.0277
2026-07-15,0.0,0.026,0.0277
2026-07-16,0.0,0.0255,0.0271
2026-07-17,0.0,0.0255,0.0271
2026-07-18,0.0,0.025,0.026
2026-07-19,0.003,0.025,0.026
