date,botten_ada,betsson,kambi
2026-06-14,0.003,,0.066
2026-06-15,0.003,,0.066
2026-06-16,0.003,,0.066
2026-06-17,0.003,,0.0654
2026-06-18,0.003,,0.0654
2026-06-19,0.003,,0.0654
2026-06-20,0.003,,0.0654
2026-06-21,0.003,,0.0654
2026-06-22,0.003,,0.0654
2026-06-23,0.001,,0.0654
2026-06-24,0.002,,0.0654
2026-06-25,0.0,,0.0654
2026-06-26,0.0,,0.0654
2026-06-27,0.0,,0.0654
2026-06-28,0.0,,0.0654
2026-06-29,0.0,,0.0654
2026-06-30,0.0,,0.0654
2026-07-01,0.0,,0.0654
2026-07-02,0.0,,0.0654
2026-07-03,0.0,,0.0654
2026-07-04,0.0,,0.0654
2026-07-05,0.0,,0.0654
2026-07-06,0.0,,0.0654
2026-07-07,0.0,,0.0654
2026-07-08,0.0,,0.0654
