date,botten_ada,polymarket,smarkets
2026-06-14,0.997,0.915,
2026-06-15,0.997,0.915,
2026-06-16,0.997,0.915,0.9187
2026-06-17,0.996,0.935,0.9359
2026-06-18,0.997,0.935,0.9359
2026-06-19,0.997,0.935,0.9359
2026-06-20,0.997,0.935,0.9359
2026-06-21,0.997,0.94,0.9406
2026-06-22,0.997,0.94,0.9406
2026-06-23,0.998,0.945,0.9447
2026-06-24,0.998,0.945,0.9447
2026-06-25,1.0,0.945,0.9447
2026-06-26,1.0,0.945,0.9447
2026-06-27,1.0,0.945,0.9447
2026-06-28,1.0,0.945,0.9447
2026-06-29,1.0,0.945,0.9447
2026-06-30,1.0,0.955,0.9537
2026-07-01,1.0,0.955,0.9537
2026-07-02,1.0,0.955,0.9537
2026-07-03,1.0,0.9605,0.9629
