date,botten_ada
2026-06-14,0.474
2026-06-15,0.474
2026-06-16,0.474
2026-06-17,0.488
2026-06-18,0.491
2026-06-19,0.491
2026-06-20,0.491
2026-06-21,0.491
2026-06-22,0.491
2026-06-23,0.479
2026-06-24,0.447
2026-06-25,0.476
2026-06-26,0.476
2026-06-27,0.476
2026-06-28,0.476
2026-06-29,0.476
2026-06-30,0.476
2026-07-01,0.476
2026-07-02,0.476
2026-07-03,0.476
2026-07-04,0.476
2026-07-05,0.476
2026-07-06,0.476
2026-07-07,0.476
2026-07-08,0.476
2026-07-09,0.476
2026-07-10,0.476
2026-07-11,0.476
2026-07-12,0.476
2026-07-13,0.476
2026-07-14,0.476
