date,botten_ada,kambi
2026-06-14,0.387,0.1549
2026-06-15,0.387,0.1549
2026-06-16,0.387,0.1549
2026-06-17,0.371,0.1549
2026-06-18,0.326,0.1549
2026-06-19,0.326,0.1549
2026-06-20,0.326,0.1549
2026-06-21,0.326,0.1549
2026-06-22,0.326,0.1549
2026-06-23,0.319,0.1549
2026-06-24,0.325,0.1549
2026-06-25,0.322,0.1549
2026-06-26,0.322,0.1549
2026-06-27,0.322,0.1549
2026-06-28,0.322,0.1549
2026-06-29,0.322,0.1549
2026-06-30,0.322,0.1549
2026-07-01,0.322,0.1549
2026-07-02,0.322,0.1549
2026-07-03,0.322,0.1549
2026-07-04,0.322,0.1549
2026-07-05,0.322,0.1549
2026-07-06,0.322,0.1549
2026-07-07,0.322,0.1549
2026-07-08,0.322,0.1549
2026-07-09,0.322,0.1549
2026-07-10,0.322,0.1549
2026-07-11,0.322,0.1549
2026-07-12,0.322,0.1549
2026-07-13,0.322,0.1549
2026-07-14,0.322,0.1549
2026-07-15,0.322,0.1549
2026-07-16,0.322,0.1549
2026-07-17,0.322,0.1549
2026-07-18,0.322,0.1549
2026-07-19,0.345,0.1549
2026-07-20,0.345,0.1549
2026-07-21,0.345,0.1549
2026-07-22,0.345,0.1549
2026-07-23,0.276,0.1549
2026-07-24,0.276,0.1549
2026-07-25,0.276,0.1549
2026-07-26,0.276,0.1549
2026-07-27,0.276,0.1549
2026-07-28,0.276,0.1549
2026-07-29,0.276,0.1549
2026-07-30,0.276,0.1549
2026-07-31,0.276,0.1549
2026-08-01,0.276,0.1549
2026-08-02,0.276,0.1549
2026-08-03,0.276,0.1549
2026-08-04,0.276,0.1549
2026-08-05,0.276,0.1549
2026-08-06,0.303,0.1549
2026-08-07,0.303,0.1549
2026-08-08,0.303,0.1549
